player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alec-wilson-holliday,Alec Wilson Holliday,P,,1.0,,14.0,9.0,1.0,4.0,1.0,,,11.0,2.0,174.0,12.0
andrew-thai,Andrew Thai,P,,,,,,1.0,,,,,,,,
ben-price,Ben Price,P,,,,9.0,11.0,1.0,,,,,12.0,1.0,-45.0,42.0
billy-obryan,Billy O\'Bryan,P,,1.0,1.0,,,,,,,,,,,
brett-hulsmeyer,Brett Hulsmeyer,P,,,,,,,,,1.0,,,,,
brooks-wallace,Brooks Wallace,P,,1.0,,18.0,18.0,,,1.0,,,22.0,4.0,99.0,64.0
christian-parker,Christian Parker,P,,,,6.0,6.0,,,,,1.0,6.0,,-5.0,26.0
colin-smith,Colin Smith,P,,,,2.0,2.0,,,,,,3.0,1.0,6.0,-7.0
connor-deluna,Connor DeLuna,P,,,,3.0,1.0,,2.0,,,,1.0,,20.0,5.0
darren-phillips,Darren Phillips,P,2.0,,,3.0,3.0,,,,1.0,,3.0,,41.0,34.0
dean-ramsey,Dean Ramsey,P,2.0,,,,,,,1.0,,,,1.0,,
emmanuel-bilolo,Emmanuel Bilolo,P,,,,20.0,16.0,1.0,,2.0,,,20.0,3.0,165.0,125.0
emmanuel-kameri,Emmanuel Kameri,P,,,,5.0,3.0,,,,,,4.0,1.0,39.0,-12.0
griffin-miller,Griffin Miller,P,2.0,,,21.0,21.0,,1.0,1.0,,,23.0,1.0,96.0,159.0
jp-burns,JP Burns,P,,,,,,,,1.0,,,,1.0,,
jacob-blackman,Jacob Blackman,P,,1.0,,,,,1.0,,,,,,,
jake-floyd,Jake Floyd,P,3.0,,,28.0,34.0,1.0,1.0,,,,36.0,2.0,64.0,229.0
jakeem-polk,Jakeem Polk,P,,,,,1.0,,,,,,1.0,,,-16.0
jason-hustad,Jason Hustad,P,3.0,,,43.0,48.0,,,1.0,3.0,2.0,56.0,6.0,209.0,306.0
jeremy-langdon,Jeremy Langdon,P,,,,,,,,,1.0,,,3.0,,
joseph-welkener,Joseph Welkener,P,,,,3.0,1.0,,,,,1.0,3.0,2.0,22.0,-2.0
justin-burnett,Justin Burnett,P,3.0,,,,,1.0,,1.0,,,,,,55.0
kevin-richardson,Kevin Richardson,P,,1.0,,3.0,2.0,,,,,4.0,2.0,,20.0,3.0
matt-smith,Matt Smith,P,,,,,,,,1.0,,,,,,
matthew-knowles,Matthew Knowles,P,,1.0,,,,,,,,,,,,
michael-arbutine,Michael Arbutine,P,2.0,1.0,,4.0,7.0,,,1.0,1.0,,7.0,,22.0,81.0
myles-cooper,Myles Cooper,P,,,,5.0,4.0,1.0,,1.0,,,5.0,1.0,61.0,3.0
parker-bray,Parker Bray,P,1.0,,,,,1.0,,,,,,,,
ryan-buckingham,Ryan Buckingham,P,,1.0,,6.0,3.0,,3.0,1.0,,,3.0,,169.0,36.0
samuel-roberts,Samuel Roberts,P,1.0,,,10.0,16.0,,,1.0,1.0,6.0,19.0,2.0,-5.0,136.0
tanner-robinson,Tanner Robinson,P,,3.0,,,,,1.0,,,,,3.0,,
timothy-mosher,Timothy Mosher,P,,1.0,,2.0,3.0,,,,,,3.0,,29.0,2.0
