player_id,player_name,positions,interceptions_lost,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_yards,sacks,tackles
aj-mccarron,AJ McCarron,QB,,,,2.0,190.0,,,,12.0,,
alize-mack,Alize Mack,TE,,,,,,,9.0,3.0,,,
austin-proehl,Austin Proehl,WR,,,,,,1.0,49.0,4.0,,,
battlehawks-qb,Battlehawks QB,QB,,,,2.0,190.0,,,,12.0,,
ben-deluca,Ben Deluca,DB/FS,,,,,,,,,,,6.5
brahmas-qb,Brahmas QB,QB,1.0,1.0,,1.0,207.0,,,,10.0,,
brian-hill,Brian Hill,RB,,,,,,,26.0,3.0,55.0,,
darrius-shepherd,Darrius Shepherd,WR,,,,,,,7.0,1.0,,,
deon-yelder,Deon Yelder,TE,,,,,,,29.0,2.0,,,
elijah-hamilton,Elijah Hamilton,DB,,,1.0,,,,,,,,2.0
elorm-lumor,Elorm Lumor,DL/DE,,,,,,,,,,,0.5
fred-brown,Fred Brown,WR,,,,,,1.0,36.0,4.0,,,
gelen-robinson,Gelen Robinson,DB/DL,,,,,,,,,,,3.0
hakeem-butler,Hakeem Butler,WR,,,,,,1.0,32.0,3.0,,,
jack-coan,Jack Coan,QB,1.0,1.0,,1.0,207.0,,,,10.0,,
jack-koerner,Jack Koerner,DB/SS,,,,,,,,,,,2.5
jacques-patrick,Jacques Patrick,RB,,,,,,,9.0,1.0,38.0,,
jake-sutherland,Jake Sutherland,WR/TE,,,,,,,21.0,1.0,,,
jalen-tolliver,Jalen Tolliver,WR,,,,,,,49.0,3.0,,,
jordan-williams,Jordan Williams,DL/OT/DB/DE/MLB/LB,,,,,,,,,,,4.0
kalen-ballage,Kalen Ballage,RB,,,,,,,13.0,3.0,84.0,,
kareem-walker,Kareem Walker,RB,,,,,,,4.0,1.0,1.0,,
kevin-atkins,Kevin Atkins,DL/DT,,,,,,,,,,,2.5
lacale-london,Lacale London,DL/DE,,,,,,,,,,1.0,3.5
lakiem-williams,Lakiem Williams,LB,,,,,,,,,,,4.5
landen-akers,Landen Akers,WR,,,,,,,35.0,7.0,1.0,,
lukas-denis,Lukas Denis,DB/S/FS,,,,,,,,,,,4.0
luq-barcoo,Luq Barcoo,DB/CB,,,2.0,,,,,,,,3.5
marcell-ateman,Marcell Ateman,WR,,,,,,,45.0,2.0,,,
mataeo-durant,Mataeo Durant,RB,,,,,,,6.0,3.0,0.0,,
mike-hampton,Mike Hampton,DB/CB,,,,,,,,,,,2.0
mike-rose,Mike Rose,DB/DL/LB/MLB,,,,,,,,,,,5.5
mike-tverdov,Mike Tverdov,DL,,,,,,,,,,0.5,1.5
riko-jeffers,Riko Jeffers,LB,,,,,,,,,,,1.0
ryan-lewis,Ryan Lewis,DB,,,,,,,,,,,4.0
sebastian-brandt,Sebastian Brandt,DB/CB,,,1.0,,,,,,,,2.0
tj-vasher,TJ Vasher,WR,,,,,,,10.0,1.0,,,
tenny-adewusi,Tenny Adewusi,DB,,,,,,,,,,,3.5
terrell-bonds,Terrell Bonds,DB/CB,,,,,,,,,,,1.0
travis-jonsen,Travis Jonsen,WR,,,,,,,17.0,1.0,,,
willie-harvey,Willie Harvey,LB,,,,,,,,,,,6.5
