game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_MICH,,,1,USFL,,,0.0,,,,,0.0,51.0,5.0,,
SYNTHETIC_USFL_W2_MICH,,,2,USFL,,,,,,,,0.0,5.0,1.0,,
SYNTHETIC_USFL_W3_MICH,,,3,USFL,,,,,,,,0.0,5.0,1.0,,
SYNTHETIC_USFL_W4_MICH,,,4,USFL,,,,,1.0,,,1.0,28.0,3.0,0.0,4.0
SYNTHETIC_USFL_W5_MICH,,,5,USFL,,,,0.0,,1.0,30.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_W6_MICH,,,6,USFL,,,,,,,,0.0,34.0,4.0,,
SYNTHETIC_USFL_W7_MICH,,,7,USFL,,,,0.0,,0.0,6.0,0.0,32.0,4.0,,
SYNTHETIC_USFL_W8_MICH,,,8,USFL,,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_W9_MICH,,,9,USFL,,,,,0.0,,,2.0,129.0,7.0,,
SYNTHETIC_USFL_W10_MICH,,,10,USFL,,,,,,,,0.0,34.0,1.0,0.0,3.0
SYNTHETIC_USFL_2023_W1_PANTHERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,,1.0,,,1.0,105.0,6.0,,
SYNTHETIC_USFL_2023_W2_PANTHERS,2023-04-23,2023,2,USFL,STARS,PANTHERS,,,,,,0.0,14.0,2.0,,
SYNTHETIC_USFL_2023_W3_PANTHERS,2023-04-30,2023,3,USFL,PANTHERS,GENERALS,,,,,,0.0,30.0,4.0,,
SYNTHETIC_USFL_2023_W4_PANTHERS,2023-05-06,2023,4,USFL,PANTHERS,SHOWBOATS,,,1.0,,,1.0,76.0,7.0,,
SYNTHETIC_USFL_2023_W5_PANTHERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,,1.0,,,,27.0,2.0,,
SYNTHETIC_USFL_2023_W6_PANTHERS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,,,,,0.0,32.0,4.0,,
SYNTHETIC_USFL_2023_W7_PANTHERS,2023-05-28,2023,7,USFL,GENERALS,PANTHERS,,,,,,1.0,121.0,5.0,,
SYNTHETIC_USFL_2023_W8_PANTHERS,2023-06-04,2023,8,USFL,BREAKERS,PANTHERS,,,,,,0.0,58.0,5.0,,
SYNTHETIC_USFL_2023_W9_PANTHERS,2023-06-10,2023,9,USFL,MAULERS,PANTHERS,,,,,,0.0,22.0,2.0,,
SYNTHETIC_USFL_2023_W10_PANTHERS,2023-06-18,2023,10,USFL,PANTHERS,STARS,,,,,,0.0,23.0,3.0,,
SYNTHETIC_USFL_2023_W11_PANTHERS,,2023,11,USFL,,,,,,,,,36.0,,,-2.0
